iter	Passed	Remaining
0	0	294
1	0	268
2	1	255
3	1	252
4	1	250
5	2	247
6	2	242
7	2	239
8	3	235
9	3	233
10	3	231
11	3	228
12	4	226
13	4	225
14	4	226
15	5	229
16	5	229
17	6	228
18	6	232
19	6	233
20	7	233
21	7	232
22	7	230
23	8	231
24	8	231
25	8	230
26	9	229
27	9	228
28	9	227
29	10	227
30	10	226
31	10	225
32	11	224
33	11	224
34	11	225
35	12	225
36	12	224
37	12	224
38	13	223
39	13	222
40	13	221
41	14	220
42	14	220
43	14	219
44	15	220
45	15	220
46	15	219
47	16	219
48	16	218
49	16	217
50	17	216
51	17	215
52	17	215
53	17	214
54	18	214
55	18	214
56	18	213
57	19	213
58	19	212
59	19	212
60	20	212
61	20	211
62	20	212
63	21	212
64	21	211
65	22	211
66	22	211
67	22	211
68	23	210
69	23	210
70	23	209
71	23	209
72	24	208
73	24	208
74	24	208
75	25	207
76	25	207
77	26	207
78	26	206
79	26	206
80	26	205
81	27	205
82	27	204
83	27	204
84	28	203
85	28	202
86	28	202
87	29	202
88	29	201
89	29	201
90	30	200
91	30	200
92	30	200
93	30	199
94	31	199
95	31	198
96	31	198
97	32	198
98	32	197
99	32	197
100	33	197
101	33	196
102	33	196
103	34	195
104	34	195
105	34	195
106	35	194
107	35	194
108	35	194
109	36	194
110	36	193
111	36	193
112	37	192
113	37	192
114	37	191
115	38	191
116	38	191
117	38	191
118	39	190
119	39	190
120	39	190
121	40	189
122	40	189
123	40	189
124	41	188
125	41	188
126	41	187
127	41	187
128	42	187
129	42	187
130	43	186
131	43	186
132	43	186
133	43	185
134	44	185
135	44	184
136	44	184
137	45	184
138	45	183
139	45	183
140	46	183
141	46	182
142	46	182
143	47	182
144	47	181
145	47	181
146	48	181
147	48	180
148	48	180
149	49	179
150	49	179
151	49	179
152	50	179
153	50	178
154	50	178
155	51	178
156	51	177
157	51	177
158	52	177
159	52	177
160	52	176
161	53	176
162	53	176
163	53	176
164	54	175
165	54	175
166	54	174
167	55	174
168	55	174
169	55	173
170	56	173
171	56	173
172	56	172
173	57	172
174	57	172
175	57	171
176	58	171
177	58	171
178	58	170
179	58	170
180	59	169
181	59	169
182	59	169
183	60	168
184	60	168
185	60	168
186	61	167
187	61	167
188	61	167
189	62	166
190	62	166
191	62	166
192	63	165
193	63	165
194	63	165
195	64	164
196	64	164
197	64	164
198	65	164
199	65	163
200	65	163
201	66	163
202	66	162
203	66	162
204	67	162
205	67	161
206	67	161
207	68	161
208	68	160
209	68	160
210	69	159
211	69	159
212	69	159
213	70	158
214	70	158
215	70	158
216	71	158
217	71	157
218	71	157
219	71	157
220	72	156
221	72	156
222	72	155
223	73	155
224	73	155
225	73	155
226	74	154
227	74	154
228	74	154
229	75	153
230	75	153
231	75	153
232	76	152
233	76	152
234	76	152
235	77	151
236	77	151
237	77	151
238	78	150
239	78	150
240	78	150
241	79	150
242	79	149
243	79	149
244	80	149
245	80	148
246	80	148
247	81	148
248	81	147
249	81	147
250	82	147
251	82	146
252	82	146
253	83	146
254	83	145
255	83	145
256	84	145
257	84	144
258	84	144
259	85	144
260	85	143
261	85	143
262	86	143
263	86	142
264	86	142
265	87	142
266	87	141
267	87	141
268	88	141
269	88	140
270	88	140
271	89	140
272	89	139
273	89	139
274	89	139
275	90	138
276	90	138
277	90	138
278	91	137
279	91	137
280	91	137
281	92	136
282	92	136
283	93	136
284	93	135
285	93	135
286	93	135
287	94	134
288	94	134
289	94	134
290	95	133
291	95	133
292	95	133
293	96	132
294	96	132
295	96	132
296	97	131
297	97	131
298	97	131
299	98	131
300	98	130
301	98	130
302	99	129
303	99	129
304	99	129
305	100	128
306	100	128
307	100	128
308	101	127
309	101	127
310	101	127
311	102	126
312	102	126
313	102	126
314	103	125
315	103	125
316	103	125
317	103	124
318	104	124
319	104	124
320	104	123
321	105	123
322	105	123
323	106	123
324	106	122
325	106	122
326	107	122
327	107	121
328	107	121
329	108	121
330	108	120
331	108	120
332	109	120
333	109	119
334	109	119
335	110	119
336	110	118
337	110	118
338	110	118
339	111	117
340	111	117
341	111	117
342	112	116
343	112	116
344	112	116
345	113	115
346	113	115
347	113	115
348	114	114
349	114	114
350	114	114
351	115	113
352	115	113
353	115	113
354	116	112
355	116	112
356	116	112
357	117	111
358	117	111
359	117	111
360	118	110
361	118	110
362	118	110
363	118	109
364	119	109
365	119	109
366	120	108
367	120	108
368	120	108
369	121	107
370	121	107
371	121	107
372	122	107
